"","Naive","sNaive","SES","MA","Croston","optCroston","SBA","TSB","ADIDA","iMAPA","ES_bu","ARIMA_bu","MLP_l","RF_l"
"Total",1.48787565736051,0.751430066763917,1.13673393076704,1.18612730634123,1.12016515171747,1.12040624111078,1.18221715379691,1.13363191158008,1.14564650862841,1.14164106491195,0.685481671101497,1.10275587361478,1.1595626288498,1.12287549218009
"State",1.51716138444335,0.754395860640008,1.11613309114793,1.15453916136233,1.0947900317748,1.096186559729,1.14862682760264,1.11281214977452,1.1202261685819,1.11817653528915,0.697175275550059,1.07684313997819,1.14572551897311,1.11584341290625
"Store",1.53456958318986,0.799303500778355,1.11561049905792,1.14725868158827,1.09005995793558,1.09440673175853,1.13974367895171,1.1129919684249,1.11724045500345,1.11603332552334,0.733467037978596,1.07864796733595,1.16923604402286,1.14095288844273
"Category",1.51998142215085,0.762047081467461,1.13649472033669,1.17516851245962,1.11760469619174,1.11805494966721,1.17661424707736,1.13207112914384,1.14223738601714,1.13921293880579,0.699652401361992,1.10509622983504,1.15603602807564,1.12092582008451
"Department",1.60554501072804,0.817085753694156,1.19951044705435,1.23935014005827,1.16683891000608,1.16770527301009,1.21596530017603,1.19175479915961,1.20092903664831,1.19973584046943,0.762264260469204,1.15239184251984,1.22098264875369,1.18440168995623
"State-Category",1.54047379932703,0.782982563102164,1.11467891797285,1.14315337497311,1.09431266511439,1.09628362773041,1.14291918753058,1.11064888471064,1.11631405684825,1.11503009683272,0.717579577356413,1.07867128042878,1.13877360679328,1.11119300088558
"State-Department",1.61427894041115,0.830436309424178,1.1553803410295,1.18466656986613,1.12657509328851,1.12949700664891,1.16549221565494,1.14906183652154,1.1531658718176,1.15339060485497,0.764457871383066,1.10660950179695,1.18129344235054,1.15518988026215
"Store-Category",1.5387737554909,0.839262643488515,1.09308083496319,1.11409696824733,1.07263510409811,1.07701338172775,1.11090936313962,1.09093092032995,1.09232189156005,1.09197827379157,0.74750413968096,1.05958398955799,1.13489916729633,1.11300574538129
"Store-Department",1.56158927182824,0.891855435390575,1.1108010968201,1.13042742635382,1.09029762703261,1.09546240946245,1.1149405551831,1.10802429005274,1.10702248963811,1.10787449991973,0.793304291512394,1.06994024775505,1.15123520723174,1.13169085499984
"Product",1.27080234502592,1.03224825036028,0.925575613312734,0.930671842520161,0.94263825828611,0.937775328943007,0.945458194599801,0.922240224764592,0.92425472666318,0.923523943227413,0.833168483615765,0.914846042551291,0.946025912249529,0.946182046922584
"Product-State",1.21071312532147,1.07495909640394,0.893349942867701,0.899379441337749,0.898165353941005,0.897800005228887,0.896997744212308,0.890722518951052,0.890042639566141,0.890369484348594,0.84236091477153,0.880371759645454,0.907108611369833,0.90927210922915
"Product-Store",1.16450402438123,1.1004018664592,0.868162231061217,0.874309353849341,0.864990920855333,0.867143348435957,0.861460317505423,0.863902865925465,0.864121198080172,0.864845521796444,0.845454683397653,0.856418372959464,0.87864746872561,0.879102532460352
"Average",1.46385569330488,0.869700702331063,1.07212597219927,1.09826239824645,1.05658948085348,1.05814457195442,1.0917787321192,1.06823279161158,1.07279353575439,1.07181767748093,0.760155884014928,1.04018135399823,1.099127190391,1.07755295614256
